clique number, clique size,pagerank with weight,highesnode, pagerank without weight ,highesnode ,eigen with weight,highesnode, eigen without weight,highesnode,degree,highesnode
0,3,0.000171435495115,42,0.000219854230184,42,4.29727550831e-08,26,5.58527761351e-06,26,16.3333333333,42,
1,3,0.000141238274622,98,0.000171986185718,34,3.64724092118e-08,98,5.69304180313e-06,98,13.0,34,
2,3,0.000164261998068,81,0.000188749027968,81,2.6713268627e-08,81,4.63874454704e-06,81,12.3333333333,81,
3,3,0.000290471155982,106,0.000301301353957,106,1.07942558222e-07,106,9.65086007509e-06,106,26.6666666667,106,
4,3,0.000334674818089,111,0.000385508076511,111,9.28444716028e-08,111,1.12042570765e-05,111,32.0,111,
5,3,0.000298506029343,161,0.000413153748076,128,0.0022749756519,128,0.0137841113278,128,62.3333333333,128,
6,3,0.000211413775528,161,0.000245222376792,161,2.32873359874e-06,161,9.42644365701e-05,161,20.3333333333,161,
7,3,0.000269525896934,161,0.00037562774096,128,0.00227418658383,128,0.0137815752272,128,58.3333333333,128,
8,3,0.000149250104823,165,0.000141011997756,165,3.79028163008e-09,165,2.93832867604e-06,165,6.66666666667,165,
9,3,0.000311318206751,163,0.000223828454268,163,1.69324634739e-08,163,7.44585025741e-06,163,12.3333333333,163,
10,3,0.0002078110013,213,0.000232060846232,213,9.09477782612e-08,213,8.73352582888e-06,213,18.3333333333,213,
11,3,0.000144964257794,220,0.000165682059804,220,2.86353019713e-08,220,4.77972339086e-06,220,11.0,220,
12,3,0.00021620205062,225,0.000243990137225,225,1.04532715964e-07,225,1.00041380922e-05,225,20.3333333333,225,
13,3,0.000293784798993,231,0.000302794655817,231,4.13873030518e-08,81,6.47726861611e-06,81,22.3333333333,231,
14,3,0.000443619853691,241,0.000443323351989,241,2.45194098222e-07,241,1.82106438779e-05,241,41.0,241,
15,3,0.000426021329588,241,0.000406698521301,241,1.93369204581e-07,241,1.47789709455e-05,241,37.6666666667,241,
16,3,0.000404530701634,260,0.000389742199726,260,1.51812984837e-07,260,1.18400647003e-05,260,35.6666666667,260,
17,3,0.00025403717285,261,0.000305874316333,261,1.05057372077e-07,261,1.08269702822e-05,261,26.0,261,
18,3,0.000216036095279,173,0.000195027679702,173,7.88569578426e-09,144,2.53563556544e-06,144,8.33333333333,173,
19,3,0.000448937364582,266,0.000454132293447,266,1.85888723023e-07,266,1.50790456441e-05,266,40.0,266,
20,3,0.000279347678586,269,0.000286909190557,269,1.10436970064e-07,269,9.72585869366e-06,269,23.3333333333,269,
21,3,0.000323673814594,274,0.000430294771889,128,0.00227436990054,128,0.0137836011906,128,63.3333333333,128,
22,3,0.000213076217366,279,0.000275008803371,279,1.12161264574e-07,279,1.1842351821e-05,279,23.0,279,
23,3,0.000312862340225,261,0.000367229985821,261,1.35614837863e-07,261,1.29743116538e-05,261,32.0,261,
24,3,0.000446817486308,260,0.000397506569964,260,1.64409095432e-07,260,1.19395519017e-05,260,37.0,260,
25,3,0.000199888950208,219,0.000154451291874,219,4.34831746574e-09,219,1.98319950471e-06,294,5.33333333333,219,
26,3,0.000258798997031,299,0.000238033987657,299,6.68308821611e-09,299,2.02729212503e-06,299,11.3333333333,299,
27,3,0.000393579075304,111,0.000424264571758,111,1.23681893093e-07,111,1.29696195076e-05,111,35.6666666667,111,
28,3,0.000314388074983,300,0.000328184900117,300,8.70527809898e-08,300,9.74676010707e-06,300,28.0,300,
29,3,0.000270022497191,306,0.000192465333584,306,5.39581073123e-09,306,1.96498019395e-06,306,6.66666666667,306,
30,3,0.000336879302333,309,0.000356792245304,309,2.86314970227e-06,309,9.69041871861e-05,309,29.0,309,
31,3,0.000523143654862,241,0.000515677927186,309,2.98815362372e-06,309,0.000104024384278,309,47.3333333333,309,
32,3,0.000520093612864,309,0.000546345377029,309,8.31286100201e-06,295,0.000275147311508,309,50.3333333333,309,
33,3,0.000495153902397,309,0.000497160751772,309,2.9895416832e-06,309,0.000105113740594,309,45.3333333333,309,
34,3,0.000478172203373,309,0.00049732113614,309,5.8137394129e-06,295,0.000189802060849,309,45.0,309,
35,3,0.00056899853631,309,0.000606359114016,309,6.12474289196e-06,302,0.000193802149857,309,55.6666666667,309,
36,3,0.000503167860861,260,0.000434711043154,260,1.92832565558e-07,260,1.34240910232e-05,260,41.0,260,
37,3,0.000369604020656,302,0.000469255760591,302,3.27109843443e-06,302,0.000102124062424,302,40.6666666667,302,
38,3,0.000307746974376,319,0.000339371641911,319,2.38571220055e-06,161,9.77873119527e-05,161,29.6666666667,319,
39,3,0.000312017527961,319,0.000400212564624,319,1.63085653263e-06,311,9.7271980936e-05,311,33.0,319,
40,3,0.000264896346384,161,0.000294041513427,161,2.3678178793e-06,161,9.6971269065e-05,161,25.6666666667,161,
41,3,0.000184974098203,325,0.00024711184603,325,3.88350172687e-06,325,0.000176604760149,325,19.0,325,
42,3,0.000382624220806,309,0.000431882950729,309,5.27008287493e-06,309,0.000184379814809,309,35.6666666667,309,
43,3,0.00023992825347,310,0.000255884363929,310,1.20582047839e-07,310,1.12633279732e-05,310,21.6666666667,310,
44,3,0.000440496095897,309,0.00045683675455,309,2.95579918383e-06,309,0.00010301433515,309,41.0,309,
45,3,0.000309408010159,300,0.000315817664032,300,1.18176131879e-07,328,1.11013448562e-05,300,28.0,300,
46,3,0.000267865297569,332,0.000253195672614,332,1.09224476989e-08,332,2.33318678843e-06,332,18.0,332,
47,3,0.00026280366368,332,0.000262240481588,332,1.10246998357e-08,332,2.38232417766e-06,332,18.3333333333,332,
48,3,0.000324246649414,459,0.000350555270598,459,6.83684425556e-08,459,4.56833792708e-05,459,50.0,459,
49,3,0.000307794021642,481,0.000323164876648,481,5.17165295284e-08,481,4.1607479481e-05,481,43.6666666667,481,
50,3,0.000256484411187,422,0.000166345470773,422,2.92055604222e-10,422,1.23898059062e-06,482,7.0,422,
51,3,0.000158361731545,480,0.000184092982027,480,3.46984184517e-08,492,3.49494844822e-05,492,21.3333333333,480,
52,3,0.00027535720675,516,0.000180674835901,516,3.0665401672e-10,422,1.1354337466e-06,422,8.0,422,
53,3,0.000297005134978,526,0.000294690256402,526,1.12895141702e-07,504,8.16211348591e-05,504,41.3333333333,526,
54,3,0.000199266589662,531,0.000194851311622,531,2.85403262297e-09,531,4.93883837938e-06,531,21.3333333333,531,
55,3,0.000140895076561,448,0.000100700938742,448,3.25815216698e-10,448,1.23075427599e-06,448,4.33333333333,448,
56,3,0.000290229254804,531,0.000271772182054,538,5.7265390451e-09,532,8.9606443418e-06,532,34.0,538,
57,3,0.000434373036418,544,0.000393141065218,544,1.20300422474e-07,363,7.38131144367e-05,363,56.3333333333,544,
58,3,0.000271496689883,546,0.000355236740413,546,1.12320586803e-05,546,0.00212561811458,546,41.6666666667,546,
59,3,0.000299037871663,544,0.00029645500548,544,3.93951765754e-08,544,3.08712675005e-05,544,43.6666666667,544,
60,3,0.000472751773948,549,0.000576569467803,546,1.12769981838e-05,546,0.0021584005912,546,79.6666666667,546,
61,3,0.000113214726676,403,0.000149703645418,403,2.05292209506e-08,390,3.0444272946e-05,390,15.3333333333,403,
62,3,0.000217219017273,515,0.000231634688426,515,2.1288145642e-08,515,1.77520616333e-05,515,24.6666666667,515,
63,3,0.000255154163227,516,0.000150504367391,516,2.32570007086e-10,516,8.98235831052e-07,516,6.0,516,
64,3,0.000262929282799,607,0.0003002341389,607,3.04072617563e-08,617,2.81368513533e-05,617,38.6666666667,617,
65,3,0.000132984782337,600,0.000131867028778,600,2.47842227126e-10,600,8.36157315453e-07,639,9.66666666667,600,
66,3,0.000275162340174,614,0.000359893990518,614,1.75259423557e-08,614,1.55209194742e-05,614,50.6666666667,614,
67,3,0.000186558502095,652,0.000182296878111,652,3.85204317858e-10,652,1.22273877822e-06,652,15.3333333333,652,
68,3,0.000292904143019,654,0.000248063926364,654,4.59642076164e-10,654,1.25796714627e-06,654,23.0,654,
69,3,0.000202258124229,709,0.000195943386233,709,0.0,709,5.59651196057e-13,709,11.6666666667,709,
70,3,0.000190248257595,743,0.000226150744644,743,0.0,713,1.16525011913e-12,721,18.0,743,
71,3,0.000166222581142,743,0.000208107300048,743,0.0,677,1.00726761046e-12,743,16.6666666667,743,
